numero,nombre,fechaCaducidad,codigoAutorizacion
7997 2033 0591 1152,Alberto Narvaez Gibson,12/31,961
2703 0141 0501 5786,Luisa Avila Lopez,03/33,626
8198 9689 2253 9328,Hugo Reyes Gibson,02/33,483
5766 7817 6806 4114,Restituta Ribas Dominguez,10/28,528
5115 4925 0752 0171,Enjuto San Padro,11/27,506
8478 4835 0852 7597,Benjamin Moreno Cozar,07/26,271
5035 3454 4755 1572,Restituta Pomares Pelaez,06/33,552
4565 3904 6146 6336,Kate Torres Morales,04/27,511
3574 7367 3524 6716,Restituta Lopez Garau,08/26,738
7237 0792 2733 0401,Clodoveo Linus Pomares,04/28,320
1262 7257 1983 8588,Petra Narvaez Poza,12/28,020
6446 0541 6436 8768,Luisa Poza Morales,06/28,448
0401 2353 5836 3144,Gonzalo Argudo Torres,01/34,320
5475 9529 1122 9028,Armando Cozar Pomares,02/33,983
3043 6096 3464 6806,Blas Padro Dans,01/29,676
4124 9208 6686 0762,Blas Cozar Vallejo,08/31,530
8878 4895 6266 5295,Irene Dominguez Poza,01/32,922
8788 4054 7787 0031,Sofia Lobo Padro,05/33,168
3083 0812 2763 7927,Margarita Narvaez Mojamuto,07/32,537
7717 0672 2313 1172,Francisco Torres Reyes,06/31,152
4405 6556 1112 4575,Luis Ribas Coll,05/28,131
1162 6786 7687 0611,Eva Torres Dominguez,05/28,967
7627 2303 2103 6016,Emiliano Pomares Gibson,11/28,429
4695 6296 8388 1272,Restituta Reyes Moss,06/34,372
8988 5485 8027 9399,Petra Coll Locke,02/26,205
5615 7797 7557 6987,Hugo Lobo Avila,12/31,252
3354 4074 8968 5796,Camilo Moss Mas,10/34,869
3484 7727 4475 4965,Margarita Avila Argudo,10/27,188
0712 0551 1272 4184,Eva Avila Cozar,09/34,430
8558 3174 1432 8828,Francisco Marques Reyes,11/30,212
4735 5806 3144 3083,Francisco Torres Coll,07/30,280
1672 2273 5545 1032,Alfredo Moreno Punset,11/26,422
9098 4274 8448 6526,Armando Dominguez Ribera,03/27,712
7867 7177 0531 5836,Alberto Torres Mas,06/28,111
4545 1152 4364 6997,Benjamin Avila Marques,09/27,783
7817 9328 3854 8448,Petra Garau Martinez,02/30,418
8208 7777 1872 8908,Kate Pelaez Torres,07/31,755
6246 8598 2603 3884,Margarita Locke Cozar,11/28,702
2333 7577 5115 9619,Margarita Moreno Padro,03/29,228
4835 2133 6626 1302,Petra Poza Garau,11/30,890
9509 4124 9549 8138,Randall Narvaez Garau,06/31,346
0722 2023 0551 9499,Jose Punset Torres,08/31,717
5385 9869 0401 8508,Pedro Dominguez Cozar,05/34,318
5525 1933 8558 0601,Enjuto Lopez Punset,12/34,833
0141 5155 4354 1983,Gabriel Pomares Lopez,10/31,291
9128 9389 7287 5455,Clodoveo Poza Argudo,01/31,830
2933 1052 4344 7607,Sofia Gibson Martinez,06/26,374
0611 8538 6957 0351,Blas Locke Poza,10/27,150
9679 0121 9819 8668,Jose Martinez Dans,06/30,933
6436 4204 8228 0361,Camilo Pomares Gracia,11/34,992
0341 5776 3784 5916,Benjamin Moss Avila,07/26,274
3804 1382 4785 2713,Kate Vallejo Garau,06/34,339
8128 2343 9358 2403,Hugo Morales Argudo,05/26,461
8148 0682 2723 5826,Alfredo Dans Mas,04/29,633
6967 5716 2183 4865,Petra Ribas Gibson,08/28,594
8448 4114 0802 0742,Randall Punset Sparrow,12/29,179
6646 2423 8117 0451,Hugo Pomares San,03/30,856
0301 0061 4815 5405,Francisco Coll Padro,09/30,981
5485 0782 0331 9148,Camilo Argudo Morales,09/32,040
0271 9859 7207 8318,Irene Moreno Gracia,02/33,033
7337 8748 3053 2763,Alfredo San Avila,05/31,615
1472 3814 9619 6656,Hugo Poza Moreno,06/32,294
7707 9699 3194 4955,Luis Moreno Mas,06/27,998
5716 4264 5235 9389,Alfredo Dans Coll,02/29,627
2833 9318 6616 9859,Jose Pelaez Ribera,03/30,128
3334 9188 5946 3784,Petra Garau Martinez,01/33,127
7617 7117 0111 5846,Pedro Linus Ribera,10/26,535
2673 6917 7967 9699,Hugo Lopez Gibson,11/26,537
0922 3644 2083 9949,Clodoveo Marques Padro,02/28,197
7547 5816 7897 2803,Irene Morales Gracia,09/28,570
2993 9118 0071 9689,Jose Moreno Martinez,08/34,187
9749 0411 0161 1923,Benjamin Locke Lobo,02/32,189
8768 0381 6676 3184,Jack Garau Dominguez,07/30,431
2403 2043 6246 6246,Emiliano Locke Gonzalez,02/29,189
0321 2243 0692 2423,Sofia Dans Morales,10/34,374
7317 1022 0541 8418,Gabriel Vallejo Vallejo,10/26,830
4364 9649 6176 0621,Clodoveo Martinez Mas,11/33,819
7597 1842 9499 2813,Benjamin San Moss,08/31,151
8468 3774 8878 3174,Jose Martinez Moreno,07/29,908
2163 5125 9719 0852,Alberto Moss Cozar,04/33,502
1072 9429 3964 8057,Alberto Avila Locke,08/33,526
7797 6766 0011 7487,Emiliano Pelaez Padro,11/26,599
9919 2443 3284 4244,Luisa Argudo Padro,01/31,900
2083 0321 4705 3053,Benjamin Padro Moreno,10/26,248
3374 6066 5365 3834,Luisa Ribas Vallejo,12/28,893
6086 5826 1612 2323,Clodoveo Vallejo Argudo,05/28,730
5836 6146 6826 8858,Emiliano Martinez Lopez,09/32,497
8228 4495 4765 2793,John Poza Ribas,01/30,882
5676 6646 0922 8838,Randall Gracia Sparrow,12/31,875
4334 6456 2753 7527,Pedro Padro Lopez,09/33,060
2003 8898 5525 2483,Gabriel Mojamuto Pomares,06/26,895
3534 7417 5736 1782,Randall Martinez Ribas,03/28,488
3564 6136 3134 3134,Jack Argudo Pelaez,12/30,472
7537 7657 6206 1132,Gonzalo Mas Poza,11/29,761
9669 0652 8778 6116,Emiliano San Punset,02/27,002
5135 9569 9078 3904,Enjuto Gonzalez Sparrow,08/26,889
1152 1322 9268 6146,Jack Mojamuto Gonzalez,12/34,481
6426 7067 3764 4104,Gonzalo Gonzalez Locke,11/26,888
9609 6426 2873 2733,Enjuto Narvaez Pomares,03/31,857
9659 8238 9569 0862,Gonzalo Vallejo Torres,06/34,377
6997 7767 9228 3634,Benjamin San Locke,02/32,960
6676 7827 3093 9519,Luisa Linus Coll,01/26,184
4385 3544 0451 9348,Alberto Ribera San,12/27,536
1963 9889 0261 0962,Petra Gibson Lopez,03/28,232
2193 5275 1352 7417,Gabriel Ribas Torres,09/28,700
4615 8438 9278 5896,Luisa Avila Linus,04/27,877
9929 5786 4875 2533,Eva Marques Gibson,07/34,481
2343 7037 5696 7317,Francisco Punset Moreno,08/29,976
5125 4154 6746 9979,Kate Linus Dans,07/26,996
8308 8968 7327 9549,Kate Poza Argudo,07/30,686
1722 8348 9899 1722,Pedro Dominguez Vallejo,03/28,845
0822 3764 9799 7977,Restituta San Narvaez,12/30,280
7897 7547 1592 5225,Margarita Gibson Poza,06/27,026
4064 7957 8698 4294,Sofia Lopez Pelaez,03/30,729
3234 3854 3634 5926,Luisa Vallejo Punset,05/31,705
1842 3524 9148 6326,Jack Argudo Mas,04/34,414
9208 3634 8928 2103,Irene Lobo Pelaez,02/34,107
1792 6466 3814 6266,Hugo Ribas Gracia,03/33,518
4635 0191 2803 9809,Petra Cozar Sparrow,09/28,545
4925 2723 9889 2373,Emiliano Mojamuto Narvaez,12/27,575
4435 7987 4565 8788,Gabriel Punset Gonzalez,03/33,394
1662 3264 8238 8778,Blas Mojamuto Gonzalez,05/32,890
8398 2863 6326 8738,Margarita Lopez Morales,11/31,097
9939 2573 3324 0952,Luisa Martinez Martinez,10/32,131
2903 6056 2433 3244,Jose Dominguez Reyes,12/26,557
6526 3824 0251 4915,John Gibson Martinez,11/26,965
8318 1802 8158 2093,Pedro Argudo Dans,07/33,674
6917 8858 5065 2513,Camilo Moss Torres,06/33,341
8948 1642 5956 4655,Pedro Torres Moss,02/34,591
8608 2473 7597 3714,Margarita Dominguez Garau,03/33,681
6516 1162 7377 5575,Camilo Marques Gonzalez,06/27,929
0551 4344 3914 9238,Blas Locke Moss,05/33,569
0241 5295 1913 0662,Luis Punset Ribas,04/34,438
0802 7647 9348 8548,Clodoveo Locke Coll,12/32,864
4715 5365 9409 0922,Clodoveo Garau Moss,04/27,893
8968 2433 1392 3304,Blas Ribas Vallejo,02/34,645
9839 0151 1332 2313,Armando Punset Dominguez,11/33,052
6456 8698 9449 3154,Irene Punset San,10/27,728
9909 1392 0742 0752,Kate Coll Moreno,06/26,168
4795 6396 4575 4034,Armando Gonzalez Gibson,12/30,209
9268 8888 4174 7637,Restituta Vallejo Lopez,02/30,626
0021 7027 3594 2163,Enjuto Marques Coll,07/30,095
1782 6967 7477 2383,Sofia Pomares Vallejo,12/29,002
1602 2753 6816 3654,Petra Locke Lobo,11/33,854
3834 5525 6987 6176,Gonzalo San Avila,03/26,979
4354 5335 5896 2613,Luisa Dominguez Morales,08/26,118
7927 6746 1302 0892,Eva Morales Sparrow,02/34,813
2593 6356 1642 3294,John Argudo Coll,10/34,331
0591 5555 4505 3414,Luisa Padro Dominguez,01/32,352
4475 2493 5966 8278,Randall Narvaez Ribera,09/34,680
4875 6316 8508 7157,Margarita Ribas Narvaez,07/32,887
1802 3053 0511 4845,Randall Marques Lobo,08/30,612
5095 8368 2363 7367,Jack Torres Poza,05/34,966
1322 8728 6076 4044,Francisco Ribas Vallejo,07/33,043
6176 9308 4635 9819,Eva Argudo Moreno,11/32,648
4274 3594 5676 6396,Luis Pelaez Garau,06/29,203
5465 1893 6006 6196,Enjuto Argudo Reyes,06/32,551
8258 2233 3664 5155,Irene Ribas Locke,12/31,659
2783 8568 3484 5335,Sofia San Vallejo,07/29,934
6566 6676 4555 6626,Gabriel Gonzalez Ribas,09/29,630
9469 1232 4304 9218,Hugo Sparrow Mojamuto,10/32,076
6106 3754 8958 1472,Armando Ribera Vallejo,01/33,766
7197 7637 9198 1242,Clodoveo San Gibson,06/29,774
1492 7447 9429 4134,Eva Linus Moss,03/29,615
7407 8087 3604 5075,Francisco Padro Padro,01/29,871
1682 8838 7937 8518,Benjamin Mojamuto Dominguez,08/34,856
5976 2633 0151 4004,Alfredo Pelaez Pelaez,09/27,336
8218 1913 0892 2063,John Gracia Linus,02/26,249
7007 7907 3184 9108,Jose Punset Pelaez,01/28,090
5295 9238 8338 2743,Alberto Sparrow Cozar,09/29,808
9549 6336 5886 4615,Margarita Torres Padro,06/30,933
7877 7107 4094 1452,Camilo Gibson Punset,09/34,396
0902 9499 6977 8748,Hugo Martinez Dominguez,06/32,519
1632 6776 7077 6726,Alberto Dominguez Poza,04/34,218
5435 5015 5746 7497,Luis Garau Avila,04/30,211
4785 9709 6506 5906,Luis Vallejo Dans,01/28,161
8238 4004 3254 7297,Clodoveo Mas Padro,03/29,481
1182 2063 1052 2153,Alfredo Mas Pomares,12/32,354
9188 0331 1792 9198,Sofia Marques Mojamuto,02/28,900
7887 8958 2743 1492,Petra Vallejo Gonzalez,09/28,279
6046 7467 9829 8868,Eva Pomares Pomares,02/27,469
7297 2153 4885 6947,Enjuto San Sparrow,01/33,764
6356 6796 3244 3264,Eva Gracia Argudo,02/31,930
0882 3254 4234 1232,Alfredo Sparrow Gonzalez,04/29,164
5325 2263 5555 2833,Alfredo Gibson Argudo,04/26,781
9799 3464 0972 5595,Gonzalo Punset Ribera,10/29,719
6887 2773 2863 6856,Irene Punset Martinez,01/34,624
6466 8278 6416 0311,Eva Narvaez Cozar,06/29,968
0702 5706 2403 9959,Gonzalo Moreno Mas,11/33,998
6366 0351 3354 7007,Randall Martinez Morales,07/30,938
3144 5075 8278 1382,Restituta Ribas Lobo,08/30,438
8298 8948 3113 6226,Sofia Moreno Torres,07/30,079
4134 8128 9729 6346,Restituta Padro Moss,10/27,310
6616 2973 3754 2473,Gabriel Coll Cozar,10/28,709
5696 1572 2633 6796,Jose Punset Linus,05/31,956
6806 7617 0141 3994,Enjuto Linus Coll,08/31,962
5455 7337 3043 2233,Enjuto Moreno Coll,06/34,525
6726 7867 6967 6076,Jose Narvaez Lobo,06/34,312
5736 9639 4194 5776,Enjuto Sparrow Martinez,04/27,729
7037 1722 6396 5305,Blas Lopez Avila,12/32,804
6686 7737 5185 8298,Blas Coll Narvaez,08/28,278
7497 3013 1282 2933,Restituta Padro Ribera,11/28,826
7687 1372 6016 7147,Hugo Garau Locke,10/33,053
3914 5045 8578 8087,Petra Gibson Locke,05/31,239
2803 9909 3103 4314,Clodoveo Argudo Padro,08/31,414
0041 6877 3314 8498,Camilo Mojamuto Locke,10/26,075
9629 3714 0021 6887,Blas Avila Martinez,09/31,775
9579 4805 8568 3484,Francisco Gracia Lobo,02/27,067
0191 2913 2203 2333,Armando Pelaez Dominguez,09/30,616
1822 1192 6917 7097,Jack Pomares Moreno,12/30,842
8658 3964 8818 8938,Blas Punset Pomares,12/28,528
0782 6266 6216 7207,Kate Morales Poza,03/34,381
8037 6566 0491 4905,Sofia Mojamuto Punset,04/33,959
0682 0361 3904 7767,Alfredo Gracia Dans,09/27,370
4725 6256 6736 2753,Gonzalo Coll Garau,01/32,360
6016 6416 9379 6866,Hugo Lopez Argudo,06/27,679
2953 3894 6046 7517,Francisco Linus Lobo,03/34,503
9078 9679 5075 1092,Benjamin Ribas Mas,08/34,294
1312 8198 9108 6907,Enjuto Ribas Sparrow,05/30,895
0411 6476 2003 7057,Luis Ribas Mas,02/28,040
7457 8077 5876 0081,Francisco Mas Gracia,04/30,726
9959 6696 5285 6386,Clodoveo Ribera Cozar,04/27,130
7347 8578 9008 8258,Blas Mojamuto Dans,06/26,825
3964 4505 3654 9639,Jack Argudo Mojamuto,12/27,546
2633 4374 3644 7457,Eva Pomares Gonzalez,12/33,731
1762 3144 1082 9649,Jose Martinez Narvaez,06/28,000
3674 9799 3614 4374,Margarita Narvaez Dans,09/32,430
4324 6516 7607 1052,Francisco Avila Marques,12/31,604
1382 4865 0632 6436,Gabriel Moreno San,06/28,918
5195 9979 3123 5355,Randall Coll Marques,03/27,187
3194 5095 8007 5996,Camilo Poza Punset,05/31,221
1142 3023 1372 4665,John Lopez Cozar,03/27,308
4525 2803 2133 0782,Kate Avila Dans,10/26,951
4495 9519 1512 4234,Kate Locke Mas,06/29,471
7227 0962 5195 3844,Kate Cozar Sparrow,05/33,361
3954 0391 4495 9889,Irene Avila Torres,10/34,117
7757 0401 1202 9298,Sofia Marques Dominguez,01/29,143
8338 1702 1682 5686,Emiliano Argudo Gracia,08/28,567
